S.NO,Name,Nationality,Current Rank,Previous Year Rank,Sport,Year,earnings ($ million)
158,Shaquille O'Neal,USA,7,5,basketball,2006,30
137,Kevin Garnett,USA,6,6,basketball,2004,29.7
98,Lennox Lewis,USA,8,>10,Boxing,1999,29
160,Alex Rodriguez,USA,9,>10,baseball,2006,29
161,Tom Brady,USA,9,>10,American Football,2006,29
149,Kobe Bryant,USA,8,10,basketball,2005,28.8
1,Mike Tyson,USA,1,,boxing,1990,28.6
138,Andre Agassi,USA,7,9,tennis,2004,28.2
22,Evander Holyfield,USA,2,1,Boxing,1992,28
114,Lennox Lewis,USA,4,8,Boxing,2002,28
127,Kevin Garnett,USA,6,7,Basketball,2003,28
150,Lance Armstrong,USA,9,>10,cycling,2005,28
75,Mike Tyson,USA,5,1,Boxing,1997,27
84,Tiger Woods,USA,4,,Golf,1998,26.8
99,Dale Earnhardt,USA,9,5,Auto Racing,1999,26.5
140,Alex Rodriguez,USA,9,7,baseball,2004,26.2
76,Tiger Woods,USA,6,26,Golf,1997,26.1
141,Kobe Bryant,USA,10,>10,basketball,2004,26.1
2,Buster Douglas,USA,2,,boxing,1990,26
105,Grant Hill,USA,5,10,Basketball,2000,26
128,Alex Rodriguez,USA,7,>10,Baseball,2003,26
129,Grant Hill,USA,8,5,Basketball,2003,25.5
77,Shaquille O'Neal,USA,7,4,Basketball,1997,25.4
32,Riddick Bowe,USA,2,>40,Boxing,1993,25
106,Dale Earnhardt,USA,6,9,Auto Racing (Nascar),2000,24.5
64,Shaquille O'Neal,USA,4,5,Basketball,1996,24.4
85,Dale Earnhardt,USA,5,,NASCAR,1998,24.1
107,Shaq O'Neal,USA,7,7,Basketball,2000,24
115,Grant Hill,USA,5,5,Basketball,2002,24
116,Shaquille O'Neal,USA,5,7,Basketball,2002,24
130,Andre Agassi,USA,9,>10,Tennis,2003,24
100,Grant Hill,USA,10,6,Basketball,1999,23
108,Lennox Lewis,USA,8,8,Boxing,2000,23
109,Oscar De La Hoya,USA,9,3,Boxing,2000,23
117,Mike Tyson,USA,7,3,Boxing,2002,23
118,Kevin Garnett,USA,7,10,Basketball,2002,23
53,Deion Sanders,USA,3,38,American Football / Baseball,1995,22.5
54,Riddick Bowe,USA,4,not ranked,boxing,1995,22.2
119,Kobe Bryant,USA,9,>10,Basketball,2002,22
55,Shaquille O'Neal,USA,5,2,basketball,1995,21.9
86,Grant Hill,USA,6,,Basketball,1998,21.6
110,Kevin Garnett,USA,10,>10,Basketball,2000,21
121,Jeff Gordon,USA,10,>10,Auto Racing (Nascar),2002,20
78,Dale Earnhardt,USA,8,20,NASCAR,1997,19.1
87,Oscar De La Hoya,USA,7,,Boxing,1998,18.5
88,Patrick Ewing,USA,8,,Basketball,1998,18.3
89,Arnold Palmer,USA,9,,Golf,1998,18.1
56,George Foreman,USA,6,15,boxing,1995,18
90,Gary Sheffield,USA,10,,Baseball,1998,17.2
80,Grant Hill,USA,10,18,Basketball,1997,17
42,Shaq O'Neal,USA,2,6,Basketball,1994,16.7
65,Emmit Smith,USA,5,not ranked,NFL,1996,16.5
13,Michael Jordan,USA,3,8,basketball,1991,16
57,Andre Agassi,USA,7,9,tennis,1995,16
35,George Foreman,USA,5,19,Boxing,1993,15.8
66,Evander Holyfield,USA,6,14,Boxing,1996,15.5
36,Shaquille O'Neal,USA,6,>40,NBA,1993,15.2
67,Andre Agassi,USA,7,7,Tennis,1996,15.2
58,Sugar Ray Leonard,USA,8,3,golf,1995,15.1
68,Arnold Palmer,USA,8,11,Golf,1996,15.1
37,Lennox Lewis,USA,7,>40,Boxing,1993,15
43,Jack Nicklaus,USA,3,13,Golf,1994,14.8
14,George Foreman,USA,4,>30,boxing,1991,14.5
44,Arnold Palmer,USA,4,11,Golf,1994,13.6
3,Sugar Ray Leonard,USA,3,,boxing,1990,13
69,Dennis Rodman,USA,9,not ranked,Basketball,1996,12.9
70,Patrick Ewing,USA,9,19,Basketball,1996,12.9
38,Cecil Fielder,USA,8,40,Baseball,1993,12.7
39,Jim Courier,USA,9,9,Tennis,1993,12.6
47,Michael Moorer,USA,7,>40,Boxing,1994,12.1
48,Evander Holyfield,USA,8,12,Boxing,1994,12
40,Joe Montana,USA,10,7,NFL,1993,11.5
49,Andre Agassi,USA,9,20,Tennis,1994,11.4
25,Arnold Palmer,USA,5,8,Golf,1992,11.1
26,Andre Agassi,USA,6,17,Tennis,1992,11
27,Joe Montana,USA,7,13,NFL,1992,9.5
18,Arnold Palmer,USA,8,8,golf,1991,9.3
28,Sugar Ray Leonard,USA,8,10,Golf,1992,9.2
29,Jim Courier,USA,9,>40,Tennis,1992,9
6,Jack Nicklaus,USA,6,,golf,1990,8.6
20,Sugar Ray Leonard,USA,10,6,golf,1991,8.5
30,Monica Seles,USA,10,12,Tennis,1992,8.5
8,Michael Jordan,USA,8,,basketball,1990,8.1
9,Arnold Palmer,USA,8,,golf,1990,8.1
10,Evander Holyfield,USA,8,,boxing,1990,8.1
